3	0	5	0.630	0.383	0.676	0.712	34.7
3	0	7	0.549	0.377	0.591	0.703	27.4
3	0	9	0.492	0.375	0.532	0.702	22.3
3	0	11	0.454	0.374	0.488	0.698	19.8
3	0	13	0.413	0.375	0.443	0.699	17.9
3	0	15	0.384	0.373	0.416	0.701	16.5
3	0.5	5	0.630	0.383	0.676	0.712	34.0
3	0.5	7	0.549	0.377	0.591	0.703	26.5
3	0.5	9	0.492	0.375	0.532	0.702	22.3
3	0.5	11	0.454	0.374	0.488	0.698	19.6
3	0.5	13	0.413	0.375	0.443	0.699	17.5
3	0.5	15	0.384	0.373	0.416	0.701	16.1
3	1	5	0.328	0.391	0.336	0.694	34.5
3	1	7	0.283	0.414	0.291	0.737	27.2
3	1	9	0.274	0.421	0.272	0.724	22.3
3	1	11	0.232	0.398	0.238	0.710	19.6
3	1	13	0.233	0.443	0.226	0.745	17.5
3	1	15	0.226	0.443	0.221	0.752	16.5
5	0	5	0.504	0.397	0.533	0.726	26.2
5	0	7	0.419	0.387	0.445	0.712	19.5
5	0	9	0.366	0.383	0.392	0.710	16.2
5	0	11	0.326	0.380	0.351	0.709	13.8
5	0	13	0.298	0.379	0.323	0.715	12.8
5	0	15	0.275	0.378	0.297	0.709	11.6
5	0.5	5	0.504	0.397	0.533	0.726	26.3
5	0.5	7	0.419	0.387	0.445	0.712	19.8
5	0.5	9	0.366	0.383	0.392	0.710	16.3
5	0.5	11	0.326	0.380	0.351	0.709	14.2
5	0.5	13	0.298	0.379	0.323	0.715	12.8
5	0.5	15	0.275	0.378	0.297	0.709	11.6
5	1	5	0.257	0.401	0.281	0.761	26.5
5	1	7	0.214	0.407	0.208	0.685	19.5
5	1	9	0.182	0.376	0.192	0.686	16.2
5	1	11	0.190	0.410	0.200	0.749	14.2
5	1	13	0.163	0.406	0.170	0.738	12.5
5	1	15	0.149	0.424	0.150	0.741	11.6
7	0	5	0.236	0.386	0.250	0.708	11.6
7	0	7	0.200	0.395	0.205	0.703	8.9
7	0	9	0.171	0.387	0.180	0.705	7.5
7	0	11	0.156	0.393	0.161	0.704	6.8
7	0	13	0.137	0.381	0.145	0.696	6.3
7	0	15	0.131	0.385	0.137	0.697	6.4
7	0.5	5	0.236	0.386	0.250	0.708	12.1
7	0.5	7	0.200	0.395	0.205	0.703	9.0
7	0.5	9	0.171	0.387	0.180	0.705	7.6
7	0.5	11	0.156	0.393	0.161	0.704	6.8
7	0.5	13	0.137	0.381	0.145	0.696	6.4
7	0.5	15	0.131	0.385	0.137	0.697	6.4
7	1	5	0.126	0.377	0.148	0.767	11.6
7	1	7	0.121	0.486	0.111	0.775	8.8
7	1	9	0.092	0.419	0.095	0.751	7.5
7	1	11	0.085	0.422	0.083	0.715	6.8
7	1	13	0.077	0.437	0.075	0.734	6.3
7	1	15	0.079	0.438	0.075	0.722	6.3
3	0.8	5	0.630	0.383	0.676	0.712	41.8
3	0.8	7	0.549	0.377	0.591	0.703	32.5
3	0.8	9	0.492	0.375	0.532	0.702	23.7
3	0.8	11	0.454	0.374	0.488	0.698	18.8
3	0.8	13	0.413	0.375	0.443	0.699	16.7
3	0.8	15	0.384	0.373	0.416	0.701	15.4
5	0.8	5	0.504	0.397	0.533	0.726	25.5
5	0.8	7	0.419	0.387	0.445	0.712	19.0
5	0.8	9	0.366	0.383	0.392	0.710	15.8
5	0.8	11	0.326	0.380	0.351	0.709	13.9
5	0.8	13	0.298	0.379	0.323	0.715	12.5
5	0.8	15	0.275	0.378	0.297	0.709	11.5
7	0.8	5	0.236	0.386	0.250	0.708	12.1
7	0.8	7	0.200	0.395	0.205	0.703	8.9
7	0.8	9	0.171	0.387	0.180	0.705	7.6
7	0.8	11	0.156	0.393	0.161	0.704	6.9
7	0.8	13	0.137	0.381	0.145	0.696	6.2
7	0.8	15	0.131	0.385	0.137	0.697	6.3
